센터ID,프로그램ID
C0259,P0628
C0259,P0004
C0263,P0004
C0263,P0193
C0263,P0052
C0264,P0629
C0264,P0630
C0264,P0631
C0264,P0632
C0264,P0633
C0265,P0004
C0265,P0283
C0269,P0101
C0269,P0317
C0269,P0318
C0269,P0319
C0270,P0634
C0272,P0101
C0272,P0322
C0272,P0323
C0272,P0324
C0273,P0101
C0273,P0322
C0273,P0323
C0273,P0635
C0273,P0324
C0274,P0101
C0274,P0322
C0274,P0323
C0274,P0324
C0277,P0351
C0278,P0636
C0278,P0637
C0279,P0101
C0279,P0308
C0279,P0309
C0279,P0310
C0279,P0311
C0279,P0312
C0279,P0313
C0279,P0314
C0279,P0315
C0280,P0296
C0280,P0009
C0280,P0196
C0280,P0079
C0281,P0296
C0281,P0009
C0281,P0196
C0281,P0079
C0282,P0004
C0282,P0285
C0282,P0019
C0282,P0286
C0283,P0004
C0283,P0285
C0283,P0019
C0283,P0286
C0284,P0004
C0284,P0204
C0284,P0638
C0287,P0103
C0287,P0302
C0287,P0639
C0292,P0004
C0292,P0640
C0292,P0019
C0292,P0156
C0292,P0055
C0292,P0236
C0292,P0280
C0292,P0641
C0292,P0642
C0292,P0643
C0292,P0644
C0293,P0004
C0293,P0640
C0293,P0019
C0293,P0156
C0293,P0055
C0293,P0236
C0293,P0280
C0293,P0641
C0293,P0642
C0293,P0643
C0293,P0644
C0294,P0004
C0294,P0640
C0294,P0019
C0294,P0156
C0294,P0055
C0294,P0236
C0294,P0280
C0294,P0641
C0294,P0642
C0294,P0643
C0294,P0644
C0295,P0004
C0295,P0640
C0295,P0019
C0295,P0156
C0295,P0055
C0295,P0236
C0295,P0280
C0295,P0641
C0295,P0642
C0295,P0643
C0295,P0644
C0296,P0645
C0296,P0646
C0296,P0647
C0296,P0642
C0296,P0648
C0296,P0649
C0296,P0644
C0298,P0004
C0298,P0125
C0298,P0650
C0298,P0651
C0300,P0074
C0300,P0102
C0300,P0104
C0300,P0652
C0300,P0130
C0300,P0200
C0303,P0653
C0303,P0654
C0303,P0655
C0304,P0476
C0304,P0102
C0304,P0477
C0307,P0656
C0308,P0657
C0308,P0658
C0312,P0008
C0312,P0009
C0312,P0010
C0312,P0011
C0312,P0012
C0312,P0013
C0312,P0014
C0312,P0015
C0312,P0016
C0312,P0017
C0313,P0004
C0313,P0498
C0313,P0272
C0314,P0265
C0314,P0659
C0314,P0660
C0314,P0661
C0318,P0662
C0321,P0004
C0321,P0107
C0321,P0291
C0321,P0292
C0321,P0293
C0321,P0294
C0322,P0249
C0322,P0100
C0322,P0019
C0322,P0306
C0322,P0130
C0322,P0307
C0324,P0134
C0324,P0009
C0324,P0663
C0326,P0242
C0327,P0242
C0332,P0291
C0332,P0664
C0333,P0024
C0333,P0665
C0335,P0004
C0335,P0119
C0335,P0206
C0335,P0666
C0336,P0249
C0336,P0100
C0336,P0019
C0336,P0306
C0336,P0130
C0336,P0307
C0340,P0667
C0340,P0668
C0340,P0669
C0340,P0670
C0341,P0134
C0341,P0008
C0341,P0597
C0341,P0598
C0341,P0599
C0345,P0671
C0345,P0119
C0345,P0672
C0345,P0673
C0346,P0671
C0346,P0119
C0346,P0672
C0346,P0673
C0349,P0119
C0349,P0004
C0349,P0639
C0349,P0674
C0349,P0031
C0349,P0043
C0349,P0675
C0349,P0676
C0349,P0677
C0351,P0273
C0351,P0301
C0351,P0165
C0352,P0004
C0352,P0678
C0353,P0004
C0353,P0133
C0353,P0132
C0354,P0066
C0354,P0320
C0355,P0066
C0355,P0320
C0356,P0679
C0356,P0680
C0356,P0681
C0356,P0682
C0357,P0066
C0357,P0178
C0357,P0009
C0357,P0252
C0358,P0249
C0358,P0100
C0358,P0019
C0358,P0306
C0358,P0130
C0358,P0307
C0359,P0001
C0359,P0683
C0359,P0218
